Sequence,ID,Netzbetreiber,VSE-ID,Kategorie,Netznutzung,Energie,Abgabe,KEV,Total exkl. MWST
119,736,Arbon Energie AG,10047012345,C1,12.2775,7.6075,0.95,2.3,23.135
120,736,Arbon Energie AG,10047012345,C2,10.8775,7.2615,0.95,2.3,21.389
121,736,Arbon Energie AG,10047012345,C3,9.495,6.23613888888889,0.95,2.3,18.9811388888889
122,736,Arbon Energie AG,10047012345,C4,8.52556666666667,6.03463333333333,0.95,2.3,17.8102
123,736,Arbon Energie AG,10047012345,C5,5.61081666666667,6.03463333333333,0.95,2.3,14.89545
124,736,Arbon Energie AG,10047012345,C6,5.15938888888889,6.06688333333333,0.95,2.3,14.4762722222222
125,736,Arbon Energie AG,10047012345,C7,4.42627062456866,5.81748394636487,0.95,2.3,13.4937545709335
126,10,Arosa Energie,10460012345,H1,15.39875,7.5096875,2.1,2.3,27.3084375
127,10,Arosa Energie,10460012345,H2,12.962,7.505,2.1,2.3,24.867
128,10,Arosa Energie,10460012345,H3,10.994,7.47166666666667,2.1,2.3,22.8656666666667
129,10,Arosa Energie,10460012345,H4,11.038,7.50222222222222,2.1,2.3,22.9402222222222
130,10,Arosa Energie,10460012345,H5,10.0268,7.46666666666667,2.1,2.3,21.8934666666667
131,10,Arosa Energie,10460012345,H6,9.41672,7.743,2.1,2.3,21.55972
132,10,Arosa Energie,10460012345,H7,9.68046153846154,7.64923076923077,2.1,2.3,21.7296923076923
133,10,Arosa Energie,10460012345,H8,10.0784,7.5025,2.1,2.3,21.9809
134,10,Arosa Energie,10460012345,C1,9.9425,7.470625,2.1,2.3,21.813125
135,10,Arosa Energie,10460012345,C2,9.02,7.5175,2.1,2.3,20.9375
136,10,Arosa Energie,10460012345,C3,8.27733333333333,7.13733333333333,2.1,2.3,19.8146666666667
137,10,Arosa Energie,10460012345,C4,7.8083,6.4976,2.1,2.3,18.7059
138,10,Arosa Energie,10460012345,C7,6.6365978746649,6.47138810457863,2.1,2.3,17.5079859792435
139,817,Azienda Elettrica Bregaglia AEB,11001012345,H1,7.74,5.1,0.0,2.3,15.14
140,817,Azienda Elettrica Bregaglia AEB,11001012345,H2,5.58,5.1,0.0,2.3,12.98
141,817,Azienda Elettrica Bregaglia AEB,11001012345,H3,3.87333333333333,5.1,0.0,2.3,11.2733333333333
142,817,Azienda Elettrica Bregaglia AEB,11001012345,H4,3.87333333333333,5.1,0.0,2.3,11.2733333333333
143,817,Azienda Elettrica Bregaglia AEB,11001012345,H5,3.02,5.1,0.0,2.3,10.42
144,817,Azienda Elettrica Bregaglia AEB,11001012345,H6,2.124,5.1,0.0,2.3,9.524
145,817,Azienda Elettrica Bregaglia AEB,11001012345,H7,2.47846153846154,5.1,0.0,2.3,9.87846153846154
146,817,Azienda Elettrica Bregaglia AEB,11001012345,H8,3.02,5.1,0.0,2.3,10.42
147,817,Azienda Elettrica Bregaglia AEB,11001012345,C1,2.94,5.1,0.0,2.3,10.34
148,817,Azienda Elettrica Bregaglia AEB,11001012345,C2,2.06,5.1,0.0,2.3,9.46
149,817,Azienda Elettrica Bregaglia AEB,11001012345,C3,1.804,5.1,0.0,2.3,9.204
150,817,Azienda Elettrica Bregaglia AEB,11001012345,C4,1.7592,5.1,0.0,2.3,9.1592
151,13,Azienda Elettrica Buseno,10895012345,H1,12.7025,5.3,0.0,2.3,20.3025
152,13,Azienda Elettrica Buseno,10895012345,H2,10.7,5.3,0.0,2.3,18.3
153,13,Azienda Elettrica Buseno,10895012345,H3,10.2288888888889,5.3,0.0,2.3,17.8288888888889
154,13,Azienda Elettrica Buseno,10895012345,H4,10.2288888888889,5.3,0.0,2.3,17.8288888888889
155,13,Azienda Elettrica Buseno,10895012345,H5,8.99333333333333,5.3,0.0,2.3,16.5933333333333
156,13,Azienda Elettrica Buseno,10895012345,H6,8.028,5.3,0.0,2.3,15.628
157,13,Azienda Elettrica Buseno,10895012345,H7,8.20923076923077,5.3,0.0,2.3,15.8092307692308
158,13,Azienda Elettrica Buseno,10895012345,H8,8.99333333333333,5.3,0.0,2.3,16.5933333333333
159,13,Azienda Elettrica Buseno,10895012345,C1,9.5275,5.3,0.0,2.3,17.1275
160,13,Azienda Elettrica Buseno,10895012345,C2,8.15666666666667,5.3,0.0,2.3,15.7566666666667
161,13,Azienda Elettrica Buseno,10895012345,C3,7.46,5.3,0.0,2.3,15.06
162,13,Azienda Elettrica Buseno,10895012345,C4,8.736,4.934,0.0,2.3,15.97
163,13,Azienda Elettrica Buseno,10895012345,C5,8.132,4.934,0.0,2.3,15.366
164,13,Azienda Elettrica Buseno,10895012345,C6,7.804,5.17,0.0,2.3,15.274
165,13,Azienda Elettrica Buseno,10895012345,C7,7.4568,4.93696050749834,0.0,2.3,14.6937605074983
166,14,Azienda Elettrica Cama,10896012345,H1,16.615,6.5,0.0,2.3,25.415
167,14,Azienda Elettrica Cama,10896012345,H2,13.24,6.416,0.0,2.3,21.956
168,14,Azienda Elettrica Cama,10896012345,H3,10.5733333333333,5.69777777777778,0.0,2.3,18.5711111111111
169,14,Azienda Elettrica Cama,10896012345,H4,10.5733333333333,6.38222222222222,0.0,2.3,19.2555555555556
170,14,Azienda Elettrica Cama,10896012345,H5,9.24,5.76533333333333,0.0,2.3,17.3053333333333
171,14,Azienda Elettrica Cama,10896012345,H6,7.84,5.0896,0.0,2.3,15.2296
172,14,Azienda Elettrica Cama,10896012345,H7,8.39384615384615,5.91384615384615,0.0,2.3,16.6076923076923
173,14,Azienda Elettrica Cama,10896012345,H8,9.24,6.38266666666667,0.0,2.3,17.9226666666667
174,14,Azienda Elettrica Cama,10896012345,C1,9.865,6.6275,0.0,2.3,18.7925
175,14,Azienda Elettrica Cama,10896012345,C2,7.94,6.57933333333333,0.0,2.3,16.8193333333333
176,14,Azienda Elettrica Cama,10896012345,C3,10.5466666666667,6.62666666666667,0.0,2.3,19.4733333333333
177,14,Azienda Elettrica Cama,10896012345,C4,9.832,6.312,0.0,2.3,18.444
178,14,Azienda Elettrica Cama,10896012345,C5,9.832,6.312,0.0,2.3,18.444
179,14,Azienda Elettrica Cama,10896012345,C6,9.43733333333333,6.62666666666667,0.0,2.3,18.364
180,14,Azienda Elettrica Cama,10896012345,C7,8.99146666666667,6.31594734333112,0.0,2.3,17.6074140099978
181,16,Azienda Elettrica Comunale Airolo,10682012345,H1,14.74,5.235,2.17,2.3,24.445
182,16,Azienda Elettrica Comunale Airolo,10682012345,H2,12.94,5.232,2.17,2.3,22.642
183,16,Azienda Elettrica Comunale Airolo,10682012345,H3,11.5177777777778,5.21066666666667,2.17,2.3,21.1984444444444
184,16,Azienda Elettrica Comunale Airolo,10682012345,H4,11.5177777777778,5.23022222222222,2.17,2.3,21.218
185,16,Azienda Elettrica Comunale Airolo,10682012345,H5,10.8066666666667,5.20746666666667,2.17,2.3,20.4841333333333
186,16,Azienda Elettrica Comunale Airolo,10682012345,H6,10.06,5.38432,2.17,2.3,19.91432
187,16,Azienda Elettrica Comunale Airolo,10682012345,H7,10.3553846153846,4.382,2.17,2.3,19.2073846153846
188,16,Azienda Elettrica Comunale Airolo,10682012345,H8,10.8066666666667,5.2304,2.17,2.3,20.5070666666667
189,16,Azienda Elettrica Comunale Airolo,10682012345,C1,10.74,5.21,2.17,2.3,20.42
190,16,Azienda Elettrica Comunale Airolo,10682012345,C2,10.0066666666667,5.24,2.17,2.3,19.7166666666667
191,16,Azienda Elettrica Comunale Airolo,10682012345,C3,9.84,5.20533333333333,2.17,2.3,19.5153333333333
192,16,Azienda Elettrica Comunale Airolo,10682012345,C4,9.42,5.2248,2.17,2.3,19.1148
193,16,Azienda Elettrica Comunale Airolo,10682012345,C5,8.4,4.7248,2.17,2.3,17.5948
194,16,Azienda Elettrica Comunale Airolo,10682012345,C6,8.16,4.70026666666667,1.37,2.3,16.5302666666667
195,17,Azienda Elettrica Comunale Bedretto,10746012345,H1,14.365,7.3,2.17,2.3,26.135
196,17,Azienda Elettrica Comunale Bedretto,10746012345,H2,12.16,7.3,2.17,2.3,23.93
197,17,Azienda Elettrica Comunale Bedretto,10746012345,H3,10.4177777777778,7.3,2.17,2.3,22.1877777777778
198,17,Azienda Elettrica Comunale Bedretto,10746012345,H4,10.4177777777778,7.3,2.17,2.3,22.1877777777778
199,17,Azienda Elettrica Comunale Bedretto,10746012345,H5,9.54666666666667,7.3,2.17,2.3,21.3166666666667
200,17,Azienda Elettrica Comunale Bedretto,10746012345,H6,8.632,7.3,2.17,2.3,20.402
201,17,Azienda Elettrica Comunale Bedretto,10746012345,H7,8.99384615384615,7.3,2.17,2.3,20.7638461538462
202,17,Azienda Elettrica Comunale Bedretto,10746012345,H8,9.54666666666667,7.3,2.17,2.3,21.3166666666667
203,17,Azienda Elettrica Comunale Bedretto,10746012345,C1,10.09,12.3,2.17,2.3,26.86
204,17,Azienda Elettrica Comunale Bedretto,10746012345,C2,8.73333333333333,12.3,2.17,2.3,25.5033333333333
205,17,Azienda Elettrica Comunale Bedretto,10746012345,C3,8.33866666666667,12.3,2.17,2.3,25.1086666666667
206,17,Azienda Elettrica Comunale Bedretto,10746012345,C4,8.2696,12.3,2.17,2.3,25.0396
207,19,Azienda Elettrica Comunale Brusio,10951012345,H1,7.125,3.0,0.0,2.3,12.425
208,19,Azienda Elettrica Comunale Brusio,10951012345,H2,6.0,3.2,0.0,2.3,11.5
209,19,Azienda Elettrica Comunale Brusio,10951012345,H3,5.11111111111111,3.56,0.0,2.3,10.9711111111111
210,19,Azienda Elettrica Comunale Brusio,10951012345,H4,5.11111111111111,3.56,0.0,2.3,10.9711111111111
211,19,Azienda Elettrica Comunale Brusio,10951012345,H5,4.66666666666667,4.03,0.0,2.3,10.9966666666667
212,19,Azienda Elettrica Comunale Brusio,10951012345,H6,4.2,5.06,0.0,2.3,11.56
213,19,Azienda Elettrica Comunale Brusio,10951012345,H7,4.38461538461539,4.65,0.0,2.3,11.3346153846154
214,19,Azienda Elettrica Comunale Brusio,10951012345,H8,4.66666666666667,4.03,0.0,2.3,10.9966666666667
215,19,Azienda Elettrica Comunale Brusio,10951012345,C1,4.625,5.5,0.0,2.3,12.425
216,19,Azienda Elettrica Comunale Brusio,10951012345,C2,4.16666666666667,5.5,0.0,2.3,11.9666666666667
217,19,Azienda Elettrica Comunale Brusio,10951012345,C3,4.03333333333333,5.5,0.0,2.3,11.8333333333333
218,19,Azienda Elettrica Comunale Brusio,10951012345,C4,4.01,5.5,0.0,2.3,11.81
219,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,H1,11.69,5.3,3.94,2.3,23.23
220,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,H2,9.62,5.3,3.94,2.3,21.16
221,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,H3,7.98444444444445,5.3,3.94,2.3,19.5244444444444
222,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,H4,7.98444444444445,5.3,3.94,2.3,19.5244444444444
223,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,H5,7.16666666666667,5.3,3.94,2.3,18.7066666666667
224,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,H6,6.308,5.3,3.94,2.3,17.848
225,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,H7,6.64769230769231,5.3,3.94,2.3,18.1876923076923
226,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,H8,7.16666666666667,5.3,3.94,2.3,18.7066666666667
227,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,C1,7.09,5.3,3.94,2.3,18.63
228,20,Azienda Elettrica Comunale del Borgo di Ascona,10115012345,C2,6.24666666666667,5.3,3.94,2.3,17.7866666666667
